date,unix,open,high,low,close,volume
2023-05-05 05:00:00,1683262800000,1897.35,1899.2,1893.3,1897.15,8949.13016657
2023-05-05 06:00:00,1683266400000,1897.14,1901.44,1896.6,1898.75,13914.23761418
2023-05-05 07:00:00,1683270000000,1898.75,1907.99,1892.94,1894.89,29541.3743476
2023-05-05 08:00:00,1683273600000,1894.89,1901.04,1894.88,1896.31,11308.39638322
2023-05-05 09:00:00,1683277200000,1896.31,1906.41,1896.01,1899.89,18305.28698918
2023-05-05 10:00:00,1683280800000,1899.89,1905.59,1899.01,1905.34,16837.25693803
2023-05-05 11:00:00,1683284400000,1905.35,1915.0,1901.64,1911.77,28702.01222755
2023-05-05 12:00:00,1683288000000,1911.8,1925.0,1886.27,1905.67,135839.85625422
2023-05-05 13:00:00,1683291600000,1905.55,1936.29,1899.29,1932.59,88636.65909232
2023-05-05 14:00:00,1683295200000,1932.74,1957.76,1932.74,1948.08,85459.13478585
2023-05-05 15:00:00,1683298800000,1948.09,1957.51,1941.89,1954.92,33919.70405187
2023-05-05 16:00:00,1683302400000,1954.92,2018.53,1954.92,1991.86,153734.4462967
2023-05-05 17:00:00,1683306000000,1991.95,1997.91,1987.13,1993.55,38773.33062514
2023-05-05 18:00:00,1683309600000,1993.56,1998.64,1971.88,1981.87,36503.47281363
2023-05-05 19:00:00,1683313200000,1981.87,1993.75,1977.07,1993.53,19355.120537
2023-05-05 20:00:00,1683316800000,1993.41,1996.08,1986.4,1989.22,16636.02186183
2023-05-05 21:00:00,1683320400000,1989.22,1993.51,1986.43,1987.21,7743.94682968
2023-05-05 22:00:00,1683324000000,1987.21,1993.5,1986.98,1990.11,9529.52637074
2023-05-05 23:00:00,1683327600000,1990.11,1998.15,1989.73,1994.61,12400.9065123
2023-05-06 00:00:00,1683331200000,1994.6,2021.63,1993.98,2004.33,68224.57748451
2023-05-06 01:00:00,1683334800000,2004.34,2005.42,1982.16,1984.91,31373.20657213
2023-05-06 02:00:00,1683338400000,1984.91,1984.91,1975.37,1980.79,16619.88528806
2023-05-06 03:00:00,1683342000000,1980.79,1980.85,1964.84,1971.49,20867.24651559
2023-05-06 04:00:00,1683345600000,1971.49,1972.8,1962.63,1966.83,14774.54610326
2023-05-06 05:00:00,1683349200000,1966.83,1969.23,1957.16,1960.67,21854.45520519
2023-05-06 06:00:00,1683352800000,1960.67,1966.55,1956.11,1964.78,21588.55554397
2023-05-06 07:00:00,1683356400000,1964.78,1966.82,1958.1,1960.16,11526.94142927
2023-05-06 08:00:00,1683360000000,1960.16,1960.17,1920.0,1945.26,81577.28778178
2023-05-06 09:00:00,1683363600000,1945.26,1945.29,1937.17,1937.78,11436.86765776
2023-05-06 10:00:00,1683367200000,1937.77,1937.78,1922.84,1929.51,36047.25059719
2023-05-06 11:00:00,1683370800000,1929.52,1937.46,1928.1,1936.22,10455.17568045
2023-05-06 12:00:00,1683374400000,1936.21,1936.22,1905.65,1913.95,67586.51287826
2023-05-06 13:00:00,1683378000000,1913.94,1913.95,1891.03,1902.42,60866.06537839
2023-05-06 14:00:00,1683381600000,1902.41,1902.42,1859.84,1877.63,124867.57988655
2023-05-06 15:00:00,1683385200000,1877.63,1886.74,1862.54,1880.25,50371.49615818
2023-05-06 16:00:00,1683388800000,1879.89,1886.4,1878.59,1884.39,16593.67295281
2023-05-06 17:00:00,1683392400000,1884.39,1891.35,1882.7,1885.16,24065.68283225
2023-05-06 18:00:00,1683396000000,1885.16,1906.83,1884.28,1902.91,25977.1840717
2023-05-06 19:00:00,1683399600000,1902.92,1908.66,1899.46,1900.89,14324.12468697
2023-05-06 20:00:00,1683403200000,1900.8,1901.76,1896.01,1896.87,11934.27879755
2023-05-06 21:00:00,1683406800000,1896.87,1899.92,1886.62,1898.07,10994.39808574
2023-05-06 22:00:00,1683410400000,1898.06,1898.61,1894.41,1898.23,10662.49983124
